PLOUHINEC;FRPAJW
PLUNERET -KERFONTAIN;FRPJ16
POIX DE PICARDIE;FRPJ20
POMAREZ;FRPCGB
PONT AUDEMER -ETANG;FRPCFA
PONT AUDEMER -LION;FRPJ23
PONT DE CHERUY 2;FRPACX
PONT EVEQUE;FRPJ26
PONT L'ABBE D'ARNOUL;FRPCD5
PONT ST ESPRIT;FRPJ27
PONTAULT COMBAULT;FRPJ24
PONTGIBAUD;FRPC57
PONTORSON;FRPC58
PORNICHET;FRPJ28
PORTICCIO;FRPC59
PRAYSSAC;FRPC60
PREMERY;FRPJ30
PRIGONRIEUX;FRPC61
PROPRIANO;FRPAEQ
PUGET THENIERS;FRPCEM
PUISEUX PONTOISE;FRPJ39
PUYGOUZON;FRPYBY
QUESNOY S/DEULE;FRPBBM
QUESTEMBERT;FRPAVY
QUIEVRECHAIN;FRPC83
QUILLAN;FRPC84
QUIMPERLE;FRPC85
QUINTIN;FRPJ43
RAILLENCOURT;FRPJ44
REBAIS;FRPC87
REIGNIER;FRPJ46
REIMS -CLEMENCEAU;FRPJ47
REIMS -GAMBETTA;FRPJ48
REIMS -GOSSET;FRPJ49
REIMS -PARIS;FRPC89
REIMS -PLACE LUTON;FRPAHA
REMOULINS;FRPC90
RENAISON -ETANGS;FRPCFG
RENNES -B L'EVEQUE;FRPJ52
RENNES -ISLY;FRPJ51
RENNES -POTERIE;FRPJ54
RENNES -VILLEJEAN;FRPJ55
REQUISTA;FRPYCG
RETTEL;FRPC91
RIEC S/BELON;FRPC93
RIEUMES;FRPC94
RILLIEUX -EUROPE;FRPJ61
RILLIEUX -VILLAGE;FRPJ62
RIOM;FRPAP9
RIOM -SEDOUR;FRPC95
RIORGES;FRPJ65
RIVE DE GIER;FRPJ66
RIVES S/FURES;FRPJ67
ROANNE;FRPJ68
ROCHECHOUART;FRPC97
ROCROI;FRPC98
ROGNAC;FRPAD9
ROMILLY S/SEINE;FRPZ80
ROOST WARENDIN;FRPAMR
ROUVROY;FRPJ78
RUBELLES;FRPJ80
RUE MOULINS;FRPJ81
RUEIL MALM -COLMAR;FRPAIY
RUEIL MALM -SUE;FRPJ82
RUY;FRPJ84
SABLE S/SARTHE;FRPCF2
SALBRIS;FRPJ87
SALIES DE BEARN;FRPCGD
SALLES;FRPD07
SALON DE PROV -BRETA;FRPJ89
SAMOENS;FRPD08
SANCERRE;FRPJ90
SARLAT;FRPJ91
SARLAT -DISCOUNT;FRPQ46
SARREBOURG;FRPASZ
SASSENAGE;FRPJ92
SAUSSAY;FRPJ93
SCHEIBENHARD -2;FRPAIR
SCIONZIER;FRPJ96
SCY CHAZELLES;FRPD09
SECLIN;FRPAVS
SEDAN;FRPAHI
SEES;FRPJ99
SETE;FRPAKG
SEVRIER;FRPK02
SEYNOD;FRPK03
SEYSSEL;FRPK04
SIORAC;FRPAQ2
SIX FOURS;FRPD10
SOLESMES 2;FRPAVM
SOMAIN -SEMARD;FRPBBF
SORBIERS;FRPK07
SOTTEVILLE LES ROUEN;FRPK08
SOULAC S/M -GODINEAU;FRPK10
ST AFFRIQUE;FRPYBX
ST AMAND -2;FRPK14
ST AMAND LES EAUX;FRPD12
ST AMAND MONTROND;FRPK15
ST AMBROIX;FRPK16
ST ANDRE DE CORCY;FRPK17
ST ANDRE DE L'EURE;FRPK18
ST AUBIN DU CORMIER;FRPK19
ST AUBIN LES ELBEUF;FRPBBX
ST CALAIS -PRESSOIR;FRPAME
ST CHELY D'APCHER;FRPD14
ST CLAIR DE LA TOUR;FRPK23
ST CYPRIEN;FRPD15
ST DENIS EN VAL;FRPD16
ST DENIS LES BOURG;FRPK25
ST ELOY LES MINES;FRPAL4
ST FLORENT -MOULIN;FRPK28
ST FLOUR;FRPD18
ST FONS;FRPK29
ST GAULTIER -2;FRPAI9
ST GENIS POUILLY;FRPK30
ST GERMAIN DU CORBEI;FRPAGF
ST GERMAIN EN LAYE;FRPK34
ST GERMAIN PUY -FENE;FRPAI3
ST GIRONS 2;FRPAQ3
ST GRATIEN;FRPD21
ST JACQUES DE LA LAN;FRPCH2
ST JEAN D'AULPS;FRPD22
ST JEAN DE BRAYE;FRPK38
ST JEAN DE LUZ;FRPD23
ST JEAN DE MAURIENNE;FRPK39
ST JEAN DE MOIRANS;FRPK40
ST JEAN PIED DE PORT;FRPCGE
ST JEOIRE PRIEURE;FRPK42
ST JORY;FRPAWF
ST JUERY;FRPW76
ST JULIEN DE CONCELL;FRPADN
ST JULIEN EN G -AMED;FRPD24
ST JULIEN EN G -PUY;FRPK43
ST JUST MALMONT;FRPD25
ST LEONARD DE NOBLAT;FRPCDC
ST LYS;FRPD26
ST MALO;FRPAIE
ST MARCEL;FRPK49
ST MARTIN D'AUXIGNY;FRPD28
ST MARTIN FONTENAY;FRPAD1
ST MAUR DES F -DELER;FRPK55
ST MAURICE;FRPK56
ST MICHEL;FRPK57
ST MIHIEL;FRPD31
ST NAZAIRE -VILLEPOR;FRPK59
ST PAUL DE FENOUILLE;FRPD33
ST PIERRE D'IRUBE;FRPCGF
ST PIERRE EGLISE;FRPACD
ST PIERRE LES NEMOUR;FRPK63
ST PIERRE MONTLIMART;FRPD34
ST POL S/TERNOISE;FRPK64
ST POURCAIN S/SIOULE;FRPK65
ST PRIEST -HERRIOT;FRPX77
ST QUENTIN FALLAVIER;FRPK67
ST REMY LES C -BUISS;FRPK68
ST ROMAIN DE COLBOSC;FRPCE8
ST SAENS;FRPW57
ST SEVER;FRPAD8
ST SOUPPLETS;FRPK69
ST SULPICE;FRPD38
ST SYMPHORIEN S/COIS;FRPD39
